	sample	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
40	MUFFIN	metabat_bins_16	bacteria_odb10	14.5	14.5	0	0.8	84.7	124	361608	361608	0.00%	2	21.8	0.08	Neural Network (Specific Model)	11	0.885	361608	305.9965397923875	598236	0.7	578	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	GCF_000012905.2	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	98.28	0.987							ani_screen	classification based on ANI only	"GCF_001720585.1, s__Cereibacter_A johrii, 95.0, 95.3, 0.936"					582	575	2	kingdom	1	0.99	0	0	0	0.98	0.97	TRUE	2	2	2	2	2	2	598236	598236	598236	598236	598236	598236	2	361608	598236	69.8	361608	236628	312173	1	2	0
41	MUFFIN	metabat_bins_17	bacteria_odb10	29	29	0	1.6	69.4	124	130250	130250	0.00%	3	10.65	0	Neural Network (Specific Model)	11	0.85	130250	318.4664031620553	283995	0.48	253	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	GCF_000010505.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	99.99	1							ani_screen	classification based on ANI only						248	233	3	kingdom	1	0.94	0	0	0	0.97	0.91	TRUE	3	3	3	3	2	2	283995	283995	283995	283995	264917	264917	3	134667	283995	48.02	130250	130250	124876.3	2	2	0
42	MUFFIN	metabat_bins_18	bacteria_odb10	4.8	4.8	0	0.8	94.4	124	48959	48959	0.00%	5	6.72	0	Neural Network (Specific Model)	11	0.886	48959	299.42971887550203	251507	0.61	249	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	GCF_003030305.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	98.08	0.992							ani_screen	classification based on ANI only						244	233	5	genus	0.99	0.94	0.09	0.03	0.06	0.97	0.91	TRUE	5	5	5	5	4	1	251507	251507	251507	251507	230806	103836	5	103836	251507	61.12	48959	36729	66243.3	2	4	0
43	MUFFIN	metabat_bins_19	bacteria_odb10	8.9	8.9	0	1.6	89.5	124	125784	125784	0.00%	4	17.16	0	Neural Network (Specific Model)	11	0.863	125784	351.7590361445783	405350	0.49	332	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	GCF_000010505.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	99.98	1							ani_screen	classification based on ANI only	"GCF_000378065.1, s__Porphyromonas gulae, 95.0, 92.29, 0.669"					329	317	4	genus	0.96	0.92	0.11	0.17	0.4	0.97	0.89	TRUE	4	4	4	4	3	3	405350	405350	405350	405350	394012	394012	4	151461	405350	49	125784	116767	129579.7	2	3	0
44	MUFFIN	metabat_bins_2	bacteria_odb10	12.9	12.9	0	2.4	84.7	124	157387	157387	0.00%	2	9.06	0	Neural Network (Specific Model)	11	0.873	157387	351.455	241147	0.49	200	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	GCF_000010505.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	99.99	1							ani_screen	classification based on ANI only						191	187	2	kingdom	1	0.98	0	0	0	0.96	0.94	TRUE	2	2	2	2	2	2	241147	241147	241147	241147	241147	241147	2	157387	241147	49.24	157387	83760	131813.4	1	2	0
45	MUFFIN	metabat_bins_20	bacteria_odb10	4.8	0	4.8	0	95.2	124	114756	114756	0.00%	2	7.55	3.34	Neural Network (Specific Model)	11	0.88	114756	300.80357142857144	229507	0.69	224	None	Unclassified Bacteria																		Insufficient number of amino acids in MSA (3.3%)	229	224	2	kingdom	1	0.98	0	0	0	0.98	0.95	TRUE	2	2	2	2	2	2	229507	229507	229507	229507	229507	229507	2	114756	229507	69	114756	114751	114753.5	1	2	0
46	MUFFIN	metabat_bins_21	bacteria_odb10	4	4	0	1.6	94.4	124	50336	50336	0.00%	5	7.79	0	Neural Network (Specific Model)	11	0.857	50336	308.1736842105263	204503	0.44	190	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	GCF_000010505.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	99.99	1							ani_screen	classification based on ANI only						167	156	5	class	0.94	0.87	0.11	0.04	0.09	0.94	0.82	TRUE	5	5	5	5	4	2	204503	204503	204503	204503	193539	109355	5	59019	204503	44.45	50336	41562	47340.1	2	4	0
47	MUFFIN	metabat_bins_22	bacteria_odb10	42.7	41.1	1.6	1.6	55.7	124	343966	343966	0.00%	15	58.73	0.1	Neural Network (Specific Model)	11	0.852	343966	274.3415625	3087198	0.35	3200	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A pacificus	GCA_016925055.1	95.15	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A pacificus	97.67	0.816							ani_screen	classification based on ANI only	"GCF_025917685.1, s__Bacillus_A cereus_AT, 95.17, 89.62, 0.672; GCA_002578045.1, s__Bacillus_A cereus_AK, 95.0, 89.68, 0.476; GCF_000021305.1, s__Bacillus_A thuringiensis_S, 95.0, 90.93, 0.732; GCF_008923725.1, s__Bacillus_A sp008923725, 95.0, 92.91, 0.772; GCF_002584985.1, s__Bacillus_A sp002584985, 95.0, 90.07, 0.641; GCF_001884135.1, s__Bacillus_A nitratireducens, 95.0, 89.21, 0.693; GCF_001757995.1, s__Bacillus_A mycoides_B, 95.0, 88.12, 0.612; GCF_001583695.1, s__Bacillus_A wiedmannii, 95.0, 92.8, 0.799; GCF_900094905.1, s__Bacillus_A cereus_AG, 95.0, 92.39, 0.773; GCF_001883995.1, s__Bacillus_A paranthracis, 95.15, 95.3, 0.843; GCF_001884065.1, s__Bacillus_A proteolyticus, 95.0, 89.22, 0.67; GCF_000832605.1, s__Bacillus_A mycoides, 95.0, 89.13, 0.644; GCF_000496285.1, s__Bacillus_A toyonensis, 95.0, 90.61, 0.671; GCF_022663335.1, s__Bacillus_A cereus_BC, 95.0, 93.26, 0.788; GCF_001182785.1, s__Bacillus_A thuringiensis_AB, 96.35, 91.04, 0.76; GCF_002564555.1, s__Bacillus_A cereus_K, 95.0, 89.72, 0.616; GCF_002577405.1, s__Bacillus_A cereus_AU, 95.0, 89.55, 0.627; GCF_002571225.1, s__Bacillus_A sp002571225, 95.0, 93.2, 0.8; GCF_002975175.1, s__Bacillus_A sp002975175, 95.0, 87.98, 0.587; GCF_002746455.1, s__Bacillus_A fungorum, 95.0, 92.97, 0.756; GCF_000007825.1, s__Bacillus_A cereus, 96.65, 91.03, 0.745; GCF_003400245.1, s__Bacillus_A sp003400245, 95.0, 92.91, 0.793; GCF_001595725.1, s__Bacillus_A thuringiensis_K, 95.84, 91.08, 0.741; GCF_000742895.1, s__Bacillus_A anthracis, 95.0, 93.96, 0.799; GCF_001884235.1, s__Bacillus_A paramycoides, 95.0, 87.68, 0.607; GCF_001884185.1, s__Bacillus_A albus, 95.0, 92.34, 0.769; GCF_001455345.1, s__Bacillus_A thuringiensis_N, 95.0, 93.82, 0.824; GCF_001884105.1, s__Bacillus_A luti, 95.0, 90.59, 0.711; GCA_027694045.1, s__Bacillus_A sp027694045, 95.0, 89.33, 0.611; GCF_007673305.1, s__Bacillus_A mycoides_C, 95.0, 88.89, 0.636; GCF_018332515.1, s__Bacillus_A hominis, 95.0, 89.42, 0.59; GCF_001884035.1, s__Bacillus_A tropicus, 95.0, 94.43, 0.843; GCF_018742245.1, s__Bacillus_A cereus_U, 95.0, 88.43, 0.609; GCF_014932895.1, s__Bacillus_A thuringiensis_AA, 95.0, 90.07, 0.674; GCF_015071065.1, s__Bacillus_A cereus_BA, 95.0, 88.31, 0.621; GCF_018966865.1, s__Bacillus_A sp018966865, 95.0, 89.23, 0.66; GCF_002567495.1, s__Bacillus_A cereus_AQ, 95.0, 90.48, 0.754; GCF_007678085.1, s__Bacillus_A cereus_BE, 95.0, 93.08, 0.783; GCF_018332475.1, s__Bacillus_A sanguinis, 95.0, 93.17, 0.768; GCF_002559825.1, s__Bacillus_A thuringiensis, 96.56, 90.79, 0.757; GCF_002912215.1, s__Bacillus_A bombysepticus, 96.51, 90.34, 0.749; GCF_006494425.1, s__Bacillus_A sp006494425, 95.0, 93.75, 0.821; GCF_001884045.1, s__Bacillus_A mobilis, 95.0, 92.75, 0.794"					3220	3162	15	kingdom	1	0.98	0	0	0	0.92	0.91	TRUE	15	15	15	15	14	12	3087198	3087198	3087198	3087198	3071040	3002418	15	821260	3087198	34.94	343966	96335	407288.8	3	10	0
48	MUFFIN	metabat_bins_23	bacteria_odb10	91.1	91.1	0	0.8	8.1	124	217840	217840	0.00%	44	95.78	1.27	Neural Network (Specific Model)	11	0.896	217840	322.5477163675138	6071457	0.67	5627	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas paraeruginosa	GCF_002601815.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas paraeruginosa	99.98	1							ani_screen	classification based on ANI only	"GCA_000263395.1, s__Stutzerimonas stutzeri_C, 95.0, 80.87, 0.15; GCF_900109175.1, s__Pseudomonas_K linyingensis, 95.0, 81.74, 0.159; GCF_900105885.1, s__Pseudomonas_K guangdongensis, 95.0, 80.78, 0.207; GCF_002091755.1, s__Pseudomonas nitroreducens, 95.0, 82.88, 0.253; GCF_001457615.1, s__Pseudomonas aeruginosa, 95.0, 93.9, 0.848; GCF_003205495.1, s__Pseudomonas_E alcaligenes_B, 95.0, 81.73, 0.236; GCF_029837695.1, s__Pseudomonas_E sp029837695, 95.0, 81.61, 0.176; GCF_003595175.1, s__Pseudomonas_E cavernae, 95.0, 80.82, 0.178; GCF_029871245.1, s__Pseudomonas_F sp029871245, 95.0, 81.65, 0.185; GCF_017589465.1, s__Pseudomonas schmalbachii, 95.0, 83.03, 0.265; GCF_900115715.1, s__Pseudomonas_K sagittaria, 95.0, 81.69, 0.166; GCF_014852585.1, s__Pseudomonas sp014852585, 95.0, 82.7, 0.239; GCF_016919445.1, s__Pseudomonas sp016919445, 95.0, 82.84, 0.245; GCF_009799925.1, s__Pseudomonas_E sp009799925, 95.0, 82.18, 0.23; GCF_019655855.2, s__Pseudomonas_E paralcaligenes, 95.0, 81.8, 0.17; GCA_002418465.1, s__Pseudomonas_O sp002418465, 95.0, 81.83, 0.163; GCF_002796985.1, s__Pseudomonas sp002796985, 95.0, 82.55, 0.246; GCF_900103845.1, s__Pseudomonas jinjuensis, 95.0, 84.0, 0.283; GCF_014851905.1, s__Pseudomonas_E sp014851905, 95.0, 80.23, 0.169; GCF_900099785.1, s__Pseudomonas panipatensis, 95.0, 83.1, 0.273; GCF_000949385.2, s__Pseudomonas_F sp000949385, 95.0, 80.91, 0.154; GCF_900104805.1, s__Pseudomonas_K oryzae, 95.0, 81.18, 0.172; GCA_024451105.1, s__Pseudomonas_K stutzeri_A, 95.0, 82.09, 0.191; GCF_030462585.1, s__Pseudomonas sp030462585, 95.0, 83.45, 0.275; GCF_900100495.1, s__Pseudomonas_E benzenivorans, 95.0, 81.54, 0.169; GCF_014204515.1, s__Pseudomonas nitritireducens_A, 95.0, 83.37, 0.277; GCF_025133575.1, s__Pseudomonas nitroreducens_B, 95.0, 83.27, 0.259; GCF_012971725.1, s__Pseudomonas multiresinivorans, 95.0, 82.82, 0.249; GCF_000955805.1, s__Pseudomonas sp000955805, 95.0, 83.16, 0.263; GCF_023823685.1, s__Pseudomonas_E subflava, 95.0, 81.76, 0.198; GCF_014851565.1, s__Pseudomonas_E sp014851565, 95.0, 81.23, 0.184; GCF_029871205.1, s__Pseudomonas_F sp029871205, 95.0, 81.73, 0.18; GCF_007109405.1, s__Pseudomonas_T mangiferae, 95.0, 81.49, 0.178; GCF_004801855.1, s__Pseudomonas_K sp004801855, 95.0, 82.69, 0.168; GCF_021495345.1, s__Pseudomonas_E hydrolytica, 95.0, 80.84, 0.157; GCF_000412695.1, s__Pseudomonas_F resinovorans_A, 95.0, 81.38, 0.194; GCF_029839275.1, s__Pseudomonas_E sp029839275, 95.0, 80.37, 0.161; GCF_900106975.1, s__Pseudomonas_O kuykendallii, 95.0, 80.47, 0.164; GCF_000467105.1, s__Pseudomonas_E alcaligenes, 95.0, 81.73, 0.191; GCF_000689415.1, s__Pseudomonas knackmussii, 95.0, 83.44, 0.265; GCF_902506505.1, s__Pseudomonas_E sp902506505, 95.0, 81.22, 0.226; GCF_000313755.1, s__Pseudomonas nitroreducens_A, 95.0, 83.02, 0.244; GCF_025642785.1, s__Pseudomonas_T sp025642785, 95.0, 81.26, 0.169; GCF_017491605.1, s__Pseudomonas sp017491605, 95.0, 83.72, 0.261; GCF_024666525.1, s__Pseudomonas_E sp024666525, 95.0, 80.31, 0.15; GCF_020831405.1, s__Pseudomonas_K oryzagri, 95.0, 81.4, 0.161; GCF_900111835.1, s__Pseudomonas_F otitidis, 95.0, 81.85, 0.203; GCF_028010285.1, s__Pseudomonas_F sp028010285, 95.0, 81.5, 0.178; GCF_900104265.1, s__Pseudomonas_E guguanensis, 95.0, 80.71, 0.156; GCF_024397895.1, s__Pseudomonas_E benzenivorans_A, 95.0, 80.51, 0.167; GCF_002355475.1, s__Pseudomonas_F furukawaii, 95.0, 80.95, 0.163; GCF_000802425.1, s__Pseudomonas_H flexibilis, 95.0, 80.36, 0.15; GCF_008807415.1, s__Pseudomonas sp002079985, 95.0, 83.01, 0.264; GCF_026072635.1, s__Pseudomonas_F solani, 95.0, 81.74, 0.215; GCF_029203285.1, s__Pseudomonas sp029203285, 95.0, 83.12, 0.265; GCF_014700075.1, s__Pseudomonas_F sp014700075, 95.0, 81.28, 0.174; GCF_029335315.1, s__Pseudomonas citronellolis_A, 95.0, 84.73, 0.31; GCF_016901015.1, s__Pseudomonas_E insulae, 95.0, 80.98, 0.196; GCF_004521985.1, s__Pseudomonas_E khazarica, 95.0, 80.84, 0.152; GCF_028649395.1, s__Pseudomonas_E sp028649395, 95.0, 81.14, 0.198; GCF_000761545.1, s__Pseudomonas_E sp000761545, 95.0, 81.3, 0.179; GCF_018398425.1, s__Pseudomonas_E lalucatii, 95.0, 81.42, 0.216; GCF_021603645.1, s__Pseudomonas pseudonitroreducens, 95.0, 82.74, 0.252; GCF_005508865.1, s__Pseudomonas_E sp005508865, 95.0, 81.31, 0.195; GCF_021726475.1, s__Stutzerimonas oligotrophica, 95.0, 81.1, 0.169; GCF_008807375.1, s__Pseudomonas_F lalkuanensis, 95.0, 81.07, 0.185; GCF_026686735.1, s__Pseudomonas sp024259745, 95.0, 82.15, 0.231; GCF_000349845.1, s__Pseudomonas sp000349845, 95.0, 83.17, 0.279; GCF_003696305.1, s__Pseudomonas_E sp003696305, 95.0, 82.08, 0.204; GCF_900187975.1, s__Pseudomonas delhiensis, 95.0, 84.53, 0.317; GCF_000364625.1, s__Pseudomonas_E thermotolerans, 95.0, 82.28, 0.25; GCF_009189165.1, s__Pseudomonas sp009189165, 95.0, 82.82, 0.241; GCF_014490745.1, s__Pseudomonas_E alcaligenes_C, 95.0, 81.39, 0.192; GCF_024170165.1, s__Pseudomonas nitroreducens_C, 95.0, 83.32, 0.266; GCF_001592875.1, s__Pseudomonas_E sp001592875, 95.0, 80.74, 0.16; GCF_904061905.1, s__Pseudomonas_E carbonaria, 95.0, 82.49, 0.204; GCF_900112375.1, s__Pseudomonas citronellolis, 95.0, 84.38, 0.312; GCF_012767755.2, s__Pseudomonas_F tohonis, 95.0, 82.13, 0.215; GCF_029871235.1, s__Pseudomonas_F sp029871235, 95.0, 81.43, 0.174; GCF_005877905.1, s__Pseudomonas nicosulfuronedens, 95.0, 82.78, 0.244"					5649	5563	44	order	0.98	0.97	0.29	0.02	0.04	0.92	0.89	TRUE	44	44	44	41	40	34	6071457	6071457	6071457	6051397	6037052	5797442	44	487243	6071457	66.86	217840	63538	236174.8	10	28	0
49	MUFFIN	metabat_bins_24	bacteria_odb10	21.8	21.8	0	2.4	75.8	124	39972	39972	0.00%	23	25.14	0.36	Neural Network (Specific Model)	11	0.896	39972	300.5674603174603	506166	0.6	504	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	GCF_003030305.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	96.67	0.971							ani_screen	classification based on ANI only						489	468	23	genus	0.99	0.95	0.06	0.07	0.14	0.97	0.92	TRUE	23	23	22	18	7	1	506166	506166	501707	471984	301749	52206	23	52206	506166	59.71	39972	11426	32190.7	6	17	0
50	MUFFIN	metabat_bins_25	bacteria_odb10	37.9	37.9	0	2.4	59.7	124	826449	826449	0.00%	2	29.14	0.03	Neural Network (Specific Model)	11	0.885	826449	312.6070911722141	1461921	0.69	1382	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	GCF_000012905.2	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	98.26	0.789							ani_screen	classification based on ANI only	"GCF_001720585.1, s__Cereibacter_A johrii, 95.0, 94.4, 0.779"					1400	1350	2	order	0.97	0.94	0.1	0.05	0.11	0.92	0.87	TRUE	2	2	2	2	2	2	1461921	1461921	1461921	1461921	1461921	1461921	2	826449	1461921	69.15	826449	635472	743434.6	1	2	0
51	MUFFIN	metabat_bins_26	bacteria_odb10	76.6	76.6	0	2.4	21	124	147946	147946	0.00%	27	99.7	0.15	Neural Network (Specific Model)	11	0.889	147946	300.7154549831488	2104923	0.35	2077	None	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	GCF_000186445.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	98.06	0.847							ani_screen	classification based on ANI only						2089	2069	27	kingdom	1	0.99	0	0	0	0.98	0.97	TRUE	27	27	26	25	18	12	2104923	2104923	2100064	2092988	1961915	1716981	27	394127	2104923	35.4	147946	40869	170202.4	5	16	0
52	MUFFIN	metabat_bins_27	bacteria_odb10	0	0	0	0	100	124	147711	147711	0.00%	2	6.36	0	Neural Network (Specific Model)	11	0.896	147711	324.38709677419354	201457	0.62	186	None	Unclassified Bacteria																		Insufficient number of amino acids in MSA (1.5%)	194	183	2	genus	0.98	0.92	0.26	0.12	0.26	0.97	0.9	TRUE	2	2	2	2	2	2	201457	201457	201457	201457	201457	201457	2	147711	201457	61.83	147711	53746	122642.4	1	2	0
53	MUFFIN	metabat_bins_28	bacteria_odb10	17.7	17.7	0	1.6	80.7	124	20520	20520	0.00%	13	14.94	0	Neural Network (Specific Model)	11	0.846	20520	293.4351851851852	224468	0.52	216	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria meningitidis	GCF_900638555.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria meningitidis	97.85	0.949							ani_screen	classification based on ANI only	"GCF_962747995.1, s__Neisseria viridiae, 95.0, 94.67, 0.834; GCF_003315235.1, s__Neisseria gonorrhoeae, 95.0, 95.23, 0.916; GCF_962719845.1, s__Neisseria bergeri, 95.0, 94.57, 0.845; GCA_000176735.1, s__Neisseria polysaccharea, 95.0, 94.97, 0.848; GCA_923184405.1, s__Neisseria meningitidis_C, 95.0, 94.43, 0.88"					216	216	13	kingdom	1	1	0	0	0	0.99	0.99	TRUE	13	13	12	8	3	1	224468	224468	219824	190024	109696	51685	13	51685	224468	51.98	20520	7725	26456.4	4	10	0
54	MUFFIN	metabat_bins_3	bacteria_odb10	9.7	9.7	0	1.6	88.7	124	20169	20169	0.00%	17	16.89	0.01	Neural Network (Specific Model)	11	0.917	20169	298.96206896551723	282824	0.39	290	None	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori	GCF_900478295.1	95.25	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori	95.87	0.94							ani_screen	classification based on ANI only	"GCF_006440215.1, s__Helicobacter pylori_CS, 95.22, 95.16, 0.927; GCF_003636935.1, s__Helicobacter pylori_CH, 95.0, 94.66, 0.946; GCF_000476275.1, s__Helicobacter pylori_CL, 95.0, 94.6, 0.903; GCF_009689985.1, s__Helicobacter pylori_CG, 95.0, 94.55, 0.921; GCF_003637665.1, s__Helicobacter pylori_CK, 95.0, 94.92, 0.937; GCA_000448465.1, s__Helicobacter pylori_CI, 95.06, 94.49, 0.87; GCF_001653455.1, s__Helicobacter pylori_A, 95.0, 91.64, 0.875; GCF_001653475.1, s__Helicobacter pylori_CM, 95.0, 94.51, 0.882; GCF_003637685.1, s__Helicobacter pylori_CJ, 95.0, 94.9, 0.937; GCF_030323545.1, s__Helicobacter pylori_CO, 95.15, 95.06, 0.91; GCF_030062585.1, s__Helicobacter pylori_CN, 95.04, 95.13, 0.943; GCF_002832345.1, s__Helicobacter pylori_CP, 95.17, 95.28, 0.949; GCF_000277405.1, s__Helicobacter pylori_C, 95.11, 94.71, 0.916; GCF_006439795.1, s__Helicobacter pylori_CR, 95.16, 94.92, 0.934; GCF_900120335.1, s__Helicobacter pylori_BU, 95.07, 94.26, 0.905; GCF_016755635.1, s__Helicobacter pylori_CQ, 95.23, 94.94, 0.92"					283	276	17	kingdom	1	0.98	0	0	0	0.98	0.95	TRUE	17	17	14	11	3	2	282824	282824	271940	248692	134174	102237	17	51492	282824	39.42	20169	9165	29003.6	4	12	0
